Final training run: final_rnn_h128_lr0p0005
================================================================================
Run: final_rnn_h128_lr0p0005
Config: TrainConfig(tokenized_path='data/corpus_tokenized.pkl', checkpoint_dir='checkpoints/final_models', checkpoint_name='final_rnn_h128_lr0p0005.pt', model_name='rnn', vocab_size=5000, seq_length=100, batch_size=64, embed_dim=128, hidden_dim=128, num_layers=1, dropout=0.0, window_size_k=5, learning_rate=0.0005, num_epochs=4, grad_clip=1.0, seed=42, run_generation_eval=False, tokenizer_path='data/gothic_tokenizer.json', generation_num_samples=50, generation_prompt_length=30, generation_temperature=0.8, generation_top_p=0.9, generation_output_path='results/final_models/final_rnn_h128_lr0p0005_generation')
  Batch 9000/12186 | Avg Train Loss: 4.2982
  Batch 9100/12186 | Avg Train Loss: 4.2977
  Batch 9200/12186 | Avg Train Loss: 4.2971
  Batch 9300/12186 | Avg Train Loss: 4.2965
  Batch 9400/12186 | Avg Train Loss: 4.2959
  Batch 9500/12186 | Avg Train Loss: 4.2953
  Batch 9600/12186 | Avg Train Loss: 4.2947
  Batch 9700/12186 | Avg Train Loss: 4.2942
  Batch 9800/12186 | Avg Train Loss: 4.2937
  Batch 9900/12186 | Avg Train Loss: 4.2931
  Batch 10000/12186 | Avg Train Loss: 4.2926
  Batch 10100/12186 | Avg Train Loss: 4.2921
  Batch 10200/12186 | Avg Train Loss: 4.2915
  Batch 10300/12186 | Avg Train Loss: 4.2910
  Batch 10400/12186 | Avg Train Loss: 4.2905
  Batch 10500/12186 | Avg Train Loss: 4.2899
  Batch 10600/12186 | Avg Train Loss: 4.2894
  Batch 10700/12186 | Avg Train Loss: 4.2889
  Batch 10800/12186 | Avg Train Loss: 4.2883
  Batch 10900/12186 | Avg Train Loss: 4.2879
  Batch 11000/12186 | Avg Train Loss: 4.2873
  Batch 11100/12186 | Avg Train Loss: 4.2867
  Batch 11200/12186 | Avg Train Loss: 4.2862
  Batch 11300/12186 | Avg Train Loss: 4.2856
  Batch 11400/12186 | Avg Train Loss: 4.2851
  Batch 11500/12186 | Avg Train Loss: 4.2845
  Batch 11600/12186 | Avg Train Loss: 4.2840
  Batch 11700/12186 | Avg Train Loss: 4.2834
  Batch 11800/12186 | Avg Train Loss: 4.2829
  Batch 11900/12186 | Avg Train Loss: 4.2823
  Batch 12000/12186 | Avg Train Loss: 4.2817
  Batch 12100/12186 | Avg Train Loss: 4.2812
Epoch 3/4 | Train Loss: 4.2808 | Val Loss: 5.9765 | Val PPL: 394.07 | Time: 1463.1s
  Batch 100/12186 | Avg Train Loss: 4.2057
  Batch 200/12186 | Avg Train Loss: 4.2054
  Batch 300/12186 | Avg Train Loss: 4.2054
  Batch 400/12186 | Avg Train Loss: 4.2058
  Batch 500/12186 | Avg Train Loss: 4.2064
  Batch 600/12186 | Avg Train Loss: 4.2076
  Batch 700/12186 | Avg Train Loss: 4.2075
  Batch 800/12186 | Avg Train Loss: 4.2066
  Batch 900/12186 | Avg Train Loss: 4.2062
  Batch 1000/12186 | Avg Train Loss: 4.2058
  Batch 1100/12186 | Avg Train Loss: 4.2052
  Batch 1200/12186 | Avg Train Loss: 4.2050
  Batch 1300/12186 | Avg Train Loss: 4.2049
  Batch 1400/12186 | Avg Train Loss: 4.2042
  Batch 1500/12186 | Avg Train Loss: 4.2037
  Batch 1600/12186 | Avg Train Loss: 4.2035
  Batch 1700/12186 | Avg Train Loss: 4.2034
  Batch 1800/12186 | Avg Train Loss: 4.2034
  Batch 1900/12186 | Avg Train Loss: 4.2033
  Batch 2000/12186 | Avg Train Loss: 4.2031
  Batch 2100/12186 | Avg Train Loss: 4.2028
  Batch 2200/12186 | Avg Train Loss: 4.2023
  Batch 2300/12186 | Avg Train Loss: 4.2021
  Batch 2400/12186 | Avg Train Loss: 4.2018
  Batch 2500/12186 | Avg Train Loss: 4.2017
  Batch 2600/12186 | Avg Train Loss: 4.2016
  Batch 2700/12186 | Avg Train Loss: 4.2013
  Batch 2800/12186 | Avg Train Loss: 4.2009
  Batch 2900/12186 | Avg Train Loss: 4.2003
  Batch 3000/12186 | Avg Train Loss: 4.1999
  Batch 3100/12186 | Avg Train Loss: 4.1996
  Batch 3200/12186 | Avg Train Loss: 4.1992
  Batch 3300/12186 | Avg Train Loss: 4.1987
  Batch 3400/12186 | Avg Train Loss: 4.1984
  Batch 3500/12186 | Avg Train Loss: 4.1981
  Batch 3600/12186 | Avg Train Loss: 4.1975
  Batch 3700/12186 | Avg Train Loss: 4.1972
  Batch 3800/12186 | Avg Train Loss: 4.1967
  Batch 3900/12186 | Avg Train Loss: 4.1963
  Batch 4000/12186 | Avg Train Loss: 4.1960
  Batch 4100/12186 | Avg Train Loss: 4.1956
  Batch 4200/12186 | Avg Train Loss: 4.1953
  Batch 4300/12186 | Avg Train Loss: 4.1948
  Batch 4400/12186 | Avg Train Loss: 4.1945
  Batch 4500/12186 | Avg Train Loss: 4.1942
  Batch 4600/12186 | Avg Train Loss: 4.1938
  Batch 4700/12186 | Avg Train Loss: 4.1935
  Batch 4800/12186 | Avg Train Loss: 4.1932
  Batch 4900/12186 | Avg Train Loss: 4.1927
  Batch 5000/12186 | Avg Train Loss: 4.1924
  Batch 5100/12186 | Avg Train Loss: 4.1919
  Batch 5200/12186 | Avg Train Loss: 4.1916
  Batch 5300/12186 | Avg Train Loss: 4.1912
  Batch 5400/12186 | Avg Train Loss: 4.1908
  Batch 5500/12186 | Avg Train Loss: 4.1905
