Final training run: final_lstm_l2_h256_d0p3_lr0p001
================================================================================
Run: final_lstm_l2_h256_d0p3_lr0p001
Config: TrainConfig(tokenized_path='data/corpus_tokenized.pkl', checkpoint_dir='checkpoints/final_models', checkpoint_name='final_lstm_l2_h256_d0p3_lr0p001.pt', model_name='lstm', vocab_size=5000, seq_length=100, batch_size=64, embed_dim=128, hidden_dim=256, num_layers=2, dropout=0.3, window_size_k=5, learning_rate=0.001, num_epochs=4, grad_clip=1.0, seed=42, run_generation_eval=False, tokenizer_path='data/gothic_tokenizer.json', generation_num_samples=50, generation_prompt_length=30, generation_temperature=0.8, generation_top_p=0.9, generation_output_path='results/final_models/final_lstm_l2_h256_d0p3_lr0p001_generation')
  Batch 5400/12186 | Avg Train Loss: 4.7864
  Batch 5500/12186 | Avg Train Loss: 4.7863
  Batch 5600/12186 | Avg Train Loss: 4.7863
  Batch 5700/12186 | Avg Train Loss: 4.7863
  Batch 5800/12186 | Avg Train Loss: 4.7863
  Batch 5900/12186 | Avg Train Loss: 4.7863
  Batch 6000/12186 | Avg Train Loss: 4.7862
  Batch 6100/12186 | Avg Train Loss: 4.7863
  Batch 6200/12186 | Avg Train Loss: 4.7862
  Batch 6300/12186 | Avg Train Loss: 4.7861
  Batch 6400/12186 | Avg Train Loss: 4.7859
  Batch 6500/12186 | Avg Train Loss: 4.7858
  Batch 6600/12186 | Avg Train Loss: 4.7858
  Batch 6700/12186 | Avg Train Loss: 4.7858
  Batch 6800/12186 | Avg Train Loss: 4.7857
  Batch 6900/12186 | Avg Train Loss: 4.7857
  Batch 7000/12186 | Avg Train Loss: 4.7857
  Batch 7100/12186 | Avg Train Loss: 4.7856
  Batch 7200/12186 | Avg Train Loss: 4.7855
  Batch 7300/12186 | Avg Train Loss: 4.7854
  Batch 7400/12186 | Avg Train Loss: 4.7853
  Batch 7500/12186 | Avg Train Loss: 4.7853
  Batch 7600/12186 | Avg Train Loss: 4.7852
  Batch 7700/12186 | Avg Train Loss: 4.7851
  Batch 7800/12186 | Avg Train Loss: 4.7851
  Batch 7900/12186 | Avg Train Loss: 4.7850
  Batch 8000/12186 | Avg Train Loss: 4.7850
  Batch 8100/12186 | Avg Train Loss: 4.7849
